"Dossier : LAB24-5670","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"N° Laboratoire","Réf échantillon","N° FR","Exploitant - parcelle","Date de prélèvement","Nature"," Argile (déc) (o/oo) g/kg "," Limon Fin (déc) (o/oo) g/kg "," Limon Grossier (déc) (o/oo) g/kg "," Sable Fin (déc) (o/oo) g/kg "," Sable Grossier (déc) (o/oo) g/kg "," pH eau - "," Carbonates totaux g/kg "," Carb. organique (o/oo) g/kg "," Matière organique (o/oo) g/kg "," Azote total (o/oo) g/kg "," C/N - "," P2O5 Olsen (o/oo) g/kg "," Cu DTPA mg/kg "," Zn DTPA mg/kg "," Ni DTPA mg/kg "," Cu total ER (mg/Kg) "," Ni total ER (mg/Kg) "," Pb total ER (mg/Kg) "," Zn total ER (mg/Kg) "
"T-02540-24","EvEx_03Gal","WW 848033","UNIV PAUL VALERY EvEx_03Gal","2/5/2024","TERRES","557","189","104","91.3","58.8","8.3","225","31.6","54.6","2.3","13.9","0.026","13.1","4.7","0.37","71.2","26.2","44.9","109"
"T-02541-24","EvEx_04Mou","WW 848035","UNIV PAUL VALERY EvEx_04Mou","2/5/2024","TERRES","362","123","125","196","194","8.3","101","16.1","27.9","1.2","12.9","0.057","5.6","2.9","0.89","38.4","79.6","36.1","91.4"
"T-02542-24","EvEx_05Mou","WW 848037","UNIV PAUL VALERY EvEx_05Mou","2/5/2024","TERRES","205","116","125","245","309","8.1","94.4","21.1","36.5","1.7","12.1","0.095","3.3","9.5","0.69","31.4","61.3","70.7","122"
"T-02543-24","EvEx_06Lou","WW 848039","UNIV PAUL VALERY EvEx_06Lou","2/5/2024","TERRES","405","135","130","253","77.6","8.5","207","15.1","26.1","1.1","13.7","0.027","16.4","3.2","0.26","70.3","29.1","47.6","77.0"
"T-02544-24","EvEx_07Lou","WW 848041","UNIV PAUL VALERY EvEx_07Lou","2/5/2024","TERRES","431","135","128","253","54.0","8.4","156","13.2","22.8","1.00","13.2","0.058","16.6","3.1","0.16","77.1","33.6","52.0","85.5"
"T-02545-24","EvEx_08Cas","WW 848043","UNIV PAUL VALERY EvEx_08Cas","2/5/2024","TERRES","231","80.0","113","316","260","8.3","250","19.8","34.3","1.5","13.0","0.032","12.7","3.0","0.40","47.9","13.4","24.7","47.1"
"T-02546-24","EvEx_09Cab","WW 848045","UNIV PAUL VALERY EvEx_09Cab","2/5/2024","TERRES","266","98.4","101","269","266","8.3","221","19.3","33.3","1.4","13.7","0.023","16.4","2.2","0.34","65.2","15.7","29.9","47.8"
"T-02547-24","EvEx_10Sun","WW 848047","UNIV PAUL VALERY EvEx_10Sun","2/5/2024","TERRES","280","101","137","277","206","8.2","213","25.4","43.9","1.7","14.7","0.022","18.2","8.9","0.30","73.4","17.1","33.4","77.6"
"T-02548-24","EvEx_11Dau","WW 848049","UNIV PAUL VALERY EvEx_11Dau","2/5/2024","TERRES","284","138","153","245","180","8.2","317","30.4","52.6","2.2","13.7","0.12","13.1","7.0","0.37","62.2","19.1","32.3","82.3"
"T-02549-24","EspV_04Mou","WW 848051","UNIV PAUL VALERY EspV_04Mou","2/5/2024","TERRES","280","131","128","212","248","8.4","83.9","12.0","20.7","0.85","14.1","0.034","4.1","2.7","0.65","36.2","77.3","73.5","108"
"T-02550-24","EvEx_11Sib","WW 848053","UNIV PAUL VALERY EvEx_11Sib","2/5/2024","TERRES","369","143","151","186","152","8.2","546","37.2","64.4","2.1","17.8","0.019","6.8","11.6","0.47","32.3","12.3","51.1","75.1"
"T-02551-24","EvEx_12Sib","WW 848055","UNIV PAUL VALERY EvEx_12Sib","2/5/2024","TERRES","356","139","155","224","127","8.1","442","40.3","69.7","2.3","17.6","0.041","6.1","23.2","0.43","33.2","14.3","39.2","97.6"
"T-02552-24","EvEx_13Hei","WW 848057","UNIV PAUL VALERY EvEx_13Hei","2/5/2024","TERRES","301","123","137","232","207","8.0","162","55.4","95.8","5.0","11.1","0.16","7.3","15.3","0.47","68.9","23.0","34.0","118"
"T-02553-24","EvEx_15Aqu","WW 848059","UNIV PAUL VALERY EvEx_15Aqu","2/5/2024","TERRES","309","141","241","205","105","8.1","118","27.0","46.7","2.1","12.7","0.029","24.9","4.9","0.26","107","21.1","52.8","69.5"
"T-02554-24","EvEx_16EnsM","WW 848061","UNIV PAUL VALERY EvEx_16EnsM","2/5/2024","TERRES","376","141","153","198","133","8.2","378","22.2","38.3","1.8","12.3","0.038","9.4","4.9","0.40","43.4","23.5","26.9","67.7"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Dossier : LAB24-5669","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"N° Laboratoire","Réf échantillon","N° FR","Exploitant - parcelle","Date de prélèvement","Nature"," Argile (déc) (o/oo) g/kg "," Limon Fin (déc) (o/oo) g/kg "," Limon Grossier (déc) (o/oo) g/kg "," Sable Fin (déc) (o/oo) g/kg "," Sable Grossier (déc) (o/oo) g/kg "," pH eau - "," Carbonates totaux g/kg "," Carb. organique (o/oo) g/kg "," Matière organique (o/oo) g/kg "," Azote total (o/oo) g/kg "," C/N - "," P2O5 Olsen (o/oo) g/kg "," Cu DTPA mg/kg "," Zn DTPA mg/kg "," Ni DTPA mg/kg "," Cu total ER (mg/Kg) "," Ni total ER (mg/Kg) "," Pb total ER (mg/Kg) "," Zn total ER (mg/Kg) "
"T-02523-24","EspV_06Mou","WW 847999","UNIV PAUL VALERY EspV_06Mou","2/5/2024","TERRES","329","120","108","233","211","8.3","101","18.7","32.4","1.1","17.2","0.031","13.8","2.4","0.18","68.3","37.5","40.1","76.7"
"T-02524-24","EspV_07Lou","WW 848001","UNIV PAUL VALERY EspV_07Lou","2/5/2024","TERRES","369","152","140","225","114","8.4","257","17.3","29.9","1.2","14.0","0.039","12.1","2.7","0.27","50.2","21.8","37.4","52.9"
"T-02525-24","EspV_08Rob","WW 848003","UNIV PAUL VALERY EspV_08Rob","2/5/2024","TERRES","376","171","162","174","118","8.1","358","19.0","32.8","1.4","13.6","0.049","7.2","3.0","0.24","29.1","16.7","19.8","37.9"
"T-02526-24","EspV_09Cas","WW 848005","UNIV PAUL VALERY EspV_09Cas","2/5/2024","TERRES","255","75.4","130","305","234","8.4","202","17.0","29.4","1.2","13.9","0.028","14.7","2.3","0.21","56.2","15.8","27.5","41.9"
"T-02527-24","EspV_10Cas","WW 848007","UNIV PAUL VALERY EspV_10Cas","2/5/2024","TERRES","330","97.3","133","237","203","8.5","210","15.4","26.6","1.2","12.6","0.025","18.3","2.0","0.21","72.9","18.1","30.1","45.6"
"T-02528-24","EspV_11Cab","WW 848009","UNIV PAUL VALERY EspV_11Cab","2/5/2024","TERRES","359","118","152","195","176","8.3","205","15.2","26.3","1.1","13.7","0.022","19.2","1.7","0.21","80.0","25.8","30.6","50.9"
"T-02529-24","EspV_12Cab","WW 848011","UNIV PAUL VALERY EspV_12Cab","2/5/2024","TERRES","377","125","161","203","136","8.3","217","18.5","31.9","1.3","13.8","0.026","20.4","2.1","0.25","76.7","20.3","35.6","45.9"
"T-02530-24","EspV_13Cab","WW 848013","UNIV PAUL VALERY EspV_13Cab","2/5/2024","TERRES","340","106","125","250","179","8.3","205","19.6","33.9","1.4","14.0","0.025","19.9","2.8","0.24","78.5","18.4","29.8","47.1"
"T-02531-24","EspV_17Dau","WW 848015","UNIV PAUL VALERY EspV_17Dau","2/5/2024","TERRES","326","114","150","256","153","8.3","202","15.0","25.9","1.2","12.8","0.022","19.3","2.1","0.20","79.2","18.4","28.7","42.2"
"T-02532-24","EspV_18Dau","WW 848017","UNIV PAUL VALERY EspV_18Dau","2/5/2024","TERRES","307","103","126","273","191","8.4","229","15.0","25.9","1.1","13.2","0.020","18.7","2.7","0.19","74.4","18.2","30.7","45.3"
"T-02533-24","CpPl_07Vol","WW 848019","UNIV PAUL VALERY CpPl_07Vol","2/5/2024","TERRES","360","125","139","187","189","8.5","434","18.0","31.1","1.1","16.8","0.15","8.8","16.7","0.20","72.6","16.2","59.9","98.3"
"T-02534-24","EspV_19San","WW 848021","UNIV PAUL VALERY EspV_19San","2/5/2024","TERRES","392","121","111","193","184","8.1","384","26.4","45.6","2.0","13.3","0.053","8.2","9.2","0.58","35.1","17.9","45.2","54.9"
"T-02535-24","EspV_20EnsE","WW 848023","UNIV PAUL VALERY EspV_20EnsE","2/5/2024","TERRES","363","135","205","196","99.7","8.4","48.5","34.5","59.7","2.4","14.2","0.050","29.5","3.7","0.95","82.3","29.1","39.0","64.7"
"T-02536-24","EspV_21EnsM","WW 848025","UNIV PAUL VALERY EspV_21EnsM","2/5/2024","TERRES","333","147","147","277","95.7","8.5","344","16.3","28.2","1.2","13.5","0.031","14.3","2.6","0.26","51.8","16.5","36.9","43.5"
"T-02537-24","EspV_22EnsM","WW 848027","UNIV PAUL VALERY EspV_22EnsM","2/5/2024","TERRES","380","128","184","191","117","8.5","341","23.5","40.7","1.6","14.3","0.038","17.7","3.0","0.56","50.2","19.7","30.7","43.8"
"T-02538-24","EvEx_01Bou","WW 848029","UNIV PAUL VALERY EvEx_01Bou","2/5/2024","TERRES","465","142","115","147","132","8.1","323","35.6","61.6","2.3","15.3","0.067","8.8","6.0","0.29","49.0","19.3","34.4","64.6"
"T-02539-24","EvEx_02Kur","WW 848031","UNIV PAUL VALERY EvEx_02Kur","2/5/2024","TERRES","413","145","102","206","134","8.1","360","24.8","42.9","1.7","14.6","0.023","12.0","15.0","0.24","60.0","20.3","68.0","73.7"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Dossier : LAB24-5668","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"N° Laboratoire","Réf échantillon","N° FR","Exploitant - parcelle","Date de prélèvement","Nature"," Argile (déc) (o/oo) g/kg "," Limon Fin (déc) (o/oo) g/kg "," Limon Grossier (déc) (o/oo) g/kg "," Sable Fin (déc) (o/oo) g/kg "," Sable Grossier (déc) (o/oo) g/kg "," pH eau - "," Carbonates totaux g/kg "," Carb. organique (o/oo) g/kg "," Matière organique (o/oo) g/kg "," Azote total (o/oo) g/kg "," C/N - "," P2O5 Olsen (o/oo) g/kg "," Cu DTPA mg/kg "," Zn DTPA mg/kg "," Ni DTPA mg/kg "," Cu total ER (mg/Kg) "," Ni total ER (mg/Kg) "," Pb total ER (mg/Kg) "," Zn total ER (mg/Kg) "
"T-02503-24","CpPl_37Sib","WW 847959","UNIV PAUL VALERY CpPl_37Sib","2/5/2024","TERRES","212","96.3","111","188","393","8.5","267","17.9","31.0","1.6","11.1","0.041","14.7","5.5","0.41","43.1","13.4","63.4","71.5"
"T-02504-24","CpPl_38Hei","WW 847961","UNIV PAUL VALERY CpPl_38Hei","2/5/2024","TERRES","238","107","109","230","316","8.4","334","21.6","37.4","1.8","11.8","0.058","12.5","8.1","0.40","40.1","14.9","61.5","91.8"
"T-02505-24","CpPl_40Dic","WW 847963","UNIV PAUL VALERY CpPl_40Dic","2/5/2024","TERRES","198","99.4","104","184","415","8.4","281","18.8","32.6","1.7","10.9","0.045","14.4","6.3","0.39","44.7","13.1","58.0","52.9"
"T-02506-24","CpPl_41Dic","WW 847965","UNIV PAUL VALERY CpPl_41Dic","2/5/2024","TERRES","359","154","149","200","137","8.2","607","27.4","47.5","1.9","14.8","0.046","14.2","14.7","0.25","45.2","8.6","20.4","36.3"
"T-02507-24","CpPl_42Dic","WW 847967","UNIV PAUL VALERY CpPl_42Dic","2/5/2024","TERRES","258","117","128","240","257","8.2","179","37.2","64.4","3.4","11.1","0.35","20.6","11.8","0.28","92.7","17.8","33.8","69.1"
"T-02508-24","CpPl_45Pri","WW 847969","UNIV PAUL VALERY CpPl_45Pri","2/5/2024","TERRES","392","153","129","219","107","8.5","341","28.5","49.4","2.2","13.1","0.095","17.3","13.1","0.31","74.8","21.8","56.0","88.4"
"T-02509-24","CpPl_46Pri","WW 847971","UNIV PAUL VALERY CpPl_46Pri","2/5/2024","TERRES","439","158","93.7","137","173","8.7","473","43.8","75.8","2.4","17.9","0.13","10.2","11.9","0.51","35.5","14.9","21.3","52.5"
"T-02510-24","CpPl_47Pri","WW 847973","UNIV PAUL VALERY CpPl_47Pri","2/5/2024","TERRES","447","157","111","146","139","8.4","475","43.4","75.1","2.3","18.9","0.11","8.3","12.4","0.56","38.9","22.0","26.9","53.7"
"T-02511-24","CpPl_48Pri","WW 847975","UNIV PAUL VALERY CpPl_48Pri","2/5/2024","TERRES","449","154","107","144","146","8.5","488","37.2","64.3","2.3","16.3","0.12","7.2","11.6","0.53","37.8","19.5","25.6","62.7"
"T-02512-24","CpPl_49San","WW 847977","UNIV PAUL VALERY CpPl_49San","2/5/2024","TERRES","315","147","137","236","165","8.6","231","21.6","37.4","1.8","12.1","0.054","12.6","5.4","0.30","64.2","24.9","38.2","65.9"
"T-02513-24","CpPl_50EnsE","WW 847979","UNIV PAUL VALERY CpPl_50EnsE","2/5/2024","TERRES","330","179","153","158","180","8.4","273","33.4","57.7","2.4","14.1","0.17","24.5","6.7","0.58","77.9","19.0","27.4","58.0"
"T-02514-24","CpPl_51EnsE","WW 847981","UNIV PAUL VALERY CpPl_51EnsE","2/5/2024","TERRES","297","144","149","212","198","8.6","256","15.3","26.4","1.0","14.5","0.046","12.8","3.2","0.26","44.8","18.6","29.3","43.0"
"T-02515-24","EspV_14Dau","WW 847983","UNIV PAUL VALERY EspV_14Dau","2/5/2024","TERRES","369","170","174","182","105","8.5","150","19.5","33.7","1.4","14.3","0.038","24.5","2.4","0.20","94.5","21.9","36.0","51.1"
"T-02516-24","EspV_15Dau","WW 847985","UNIV PAUL VALERY EspV_15Dau","2/5/2024","TERRES","368","175","181","174","102","8.6","174","14.0","24.2","1.1","12.4","0.026","26.0","1.7","0.18","101","23.6","32.6","53.8"
"T-02517-24","EspV_16Dau","WW 847987","UNIV PAUL VALERY EspV_16Dau","2/5/2024","TERRES","223","88.2","96.9","257","335","8.5","247","15.5","26.7","1.2","13.1","0.019","16.3","1.8","0.19","59.3","20.2","26.4","36.1"
"T-02518-24","EspV_19Dau","WW 847989","UNIV PAUL VALERY EspV_19Dau","2/5/2024","TERRES","268","122","99.8","283","228","8.6","235","18.0","31.2","1.2","14.7","0.018","17.1","2.4","0.18","58.5","15.4","28.5","39.0"
"T-02519-24","EspV_01Cam","WW 847991","UNIV PAUL VALERY EspV_01Cam","2/5/2024","TERRES","285","120","67.4","179","348","8.4","129","16.1","27.8","1.0","16.0","0.019","4.6","1.7","0.55","37.3","107","21.4","65.9"
"T-02520-24","EspV_02Cam","WW 847993","UNIV PAUL VALERY EspV_02Cam","2/5/2024","TERRES","258","107","86.8","169","379","8.5","136","14.3","24.7","0.95","15.0","0.022","4.5","1.8","0.50","37.3","106","21.4","67.0"
"T-02521-24","EspV_03Cam","WW 847995","UNIV PAUL VALERY EspV_03Cam","2/5/2024","TERRES","294","103","72.0","168","363","8.5","140","15.3","26.4","1.1","14.5","0.027","5.0","2.4","0.50","39.5","98.4","21.5","68.3"
"T-02522-24","EspV_05Mou","WW 847997","UNIV PAUL VALERY EspV_05Mou","2/5/2024","TERRES","363","131","100.0","208","198","8.5","128","10.8","18.6","0.78","13.8","0.019","12.4","1.6","0.16","62.9","39.0","37.2","75.7"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Dossier : LAB24-5667","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"N° Laboratoire","Réf échantillon","N° FR","Exploitant - parcelle","Date de prélèvement","Nature"," Argile (déc) (o/oo) g/kg "," Limon Fin (déc) (o/oo) g/kg "," Limon Grossier (déc) (o/oo) g/kg "," Sable Fin (déc) (o/oo) g/kg "," Sable Grossier (déc) (o/oo) g/kg "," pH eau - "," Carbonates totaux g/kg "," Carb. organique (o/oo) g/kg "," Matière organique (o/oo) g/kg "," Azote total (o/oo) g/kg "," C/N - "," P2O5 Olsen (o/oo) g/kg "," Cu DTPA mg/kg "," Zn DTPA mg/kg "," Ni DTPA mg/kg "," Cu total ER (mg/Kg) "," Ni total ER (mg/Kg) "," Pb total ER (mg/Kg) "," Zn total ER (mg/Kg) "
"T-02483-24","CpPl_17Lou","WW 847919","UNIV PAUL VALERY CpPl_17Lou","2/5/2024","TERRES","351","142","149","189","169","8.5","333","21.2","36.7","2.0","10.6","0.050","9.8","3.3","0.32","40.3","18.5","24.0","56.5"
"T-02484-24","CpPl_18Lou","WW 847921","UNIV PAUL VALERY CpPl_18Lou","2/5/2024","TERRES","331","128","136","209","196","8.5","339","21.4","37.1","1.6","13.5","0.058","11.3","4.6","0.36","42.5","17.0","26.9","58.5"
"T-02485-24","CpPl_19Lou","WW 847923","UNIV PAUL VALERY CpPl_19Lou","2/5/2024","TERRES","327","145","138","210","180","8.3","314","31.1","53.7","1.7","18.6","0.072","13.8","3.8","0.43","47.9","18.3","25.4","57.7"
"T-02486-24","CpPl_20Lou","WW 847925","UNIV PAUL VALERY CpPl_20Lou","2/5/2024","TERRES","341","126","168","232","133","8.4","306","22.2","38.4","1.6","13.5","0.055","12.6","3.9","0.31","50.0","20.4","31.5","60.4"
"T-02487-24","CpPl_21Lou","WW 847927","UNIV PAUL VALERY CpPl_21Lou","2/5/2024","TERRES","306","133","119","191","250","8.4","118","19.4","33.5","1.5","13.3","0.043","15.1","4.1","0.40","53.2","22.2","31.1","64.5"
"T-02488-24","CpPl_22Lou","WW 847929","UNIV PAUL VALERY CpPl_22Lou","2/5/2024","TERRES","343","144","138","187","188","8.4","321","17.5","30.3","1.4","12.3","0.048","15.1","3.9","0.59","41.2","18.8","23.8","57.1"
"T-02489-24","CpPl_23Lou","WW 847931","UNIV PAUL VALERY CpPl_23Lou","2/5/2024","TERRES","340","158","145","212","145","8.3","320","20.0","34.6","1.3","15.6","0.055","15.3","3.4","0.54","43.0","21.2","24.2","57.5"
"T-02490-24","CpPl_24Rob","WW 847933","UNIV PAUL VALERY CpPl_24Rob","2/5/2024","TERRES","341","157","146","219","138","8.4","374","19.0","33.0","1.4","14.1","0.051","9.5","3.4","0.35","33.2","17.4","22.3","50.3"
"T-02491-24","CpPl_25Rob","WW 847935","UNIV PAUL VALERY CpPl_25Rob","2/5/2024","TERRES","341","149","144","194","173","8.5","354","21.2","36.6","1.5","13.9","0.068","10.3","3.4","0.32","37.9","17.5","34.9","53.3"
"T-02492-24","CpPl_26Rob","WW 847937","UNIV PAUL VALERY CpPl_26Rob","2/5/2024","TERRES","349","157","150","192","152","8.4","348","23.2","40.2","1.6","14.7","0.049","14.2","6.2","0.62","38.7","18.6","22.3","62.5"
"T-02493-24","CpPl_27Rob","WW 847939","UNIV PAUL VALERY CpPl_27Rob","2/5/2024","TERRES","347","183","166","189","114","8.6","398","12.5","21.7","1.1","11.8","0.062","8.3","2.7","0.22","31.2","18.3","21.1","53.5"
"T-02494-24","CpPl_28Rob","WW 847941","UNIV PAUL VALERY CpPl_28Rob","2/5/2024","TERRES","317","143","159","199","182","8.5","428","17.2","29.7","1.3","13.0","0.051","12.3","3.4","0.37","41.5","17.6","23.3","54.5"
"T-02495-24","CpPl_29Sun","WW 847943","UNIV PAUL VALERY CpPl_29Sun","2/5/2024","TERRES","262","125","136","251","225","8.5","155","8.2","14.3","0.65","12.7","0.010","18.3","3.2","0.14","58.6","17.9","36.9","55.8"
"T-02496-24","CpPl_30Sun","WW 847945","UNIV PAUL VALERY CpPl_30Sun","2/5/2024","TERRES","300","129","128","249","194","8.6","324","52.4","90.6","3.4","15.6","0.12","13.4","8.2","0.30","60.6","15.3","46.2","71.0"
